ticker,name,sector,industry,volatility,market_cap,tags
CPRT,"Copart, Inc.",Industrials,Specialty Business Services,0.2430749735848582,61279277056,"Industrials, Specialty Business Services"
GLW,Corning Incorporated,Technology,Electronic Components,0.3446377186353886,41230512128,"Technology, Electronic Components"
CPAY,"Corpay, Inc.",Technology,Software - Infrastructure,0.33882133123386576,24595146752,"Technology, Software - Infrastructure"
CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,0.2668373369483427,46940114944,"Basic Materials, Agricultural Inputs"
CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,0.31829513466222337,32447332352,"Real Estate, Real Estate Services"
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,0.2201774623026958,458919051264,"Consumer Defensive, Discount Stores"
CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,0.30075115389796786,18707527680,"Energy, Oil & Gas E&P"
CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,0.5303594857710522,110676033536,"Technology, Software - Infrastructure"
CCI,Crown Castle Inc.,Real Estate,REIT - Specialty,0.26596954129049427,44843569152,"Real Estate, REIT - Specialty"
CSX,CSX Corporation,Industrials,Railroads,0.2587006160467371,58629545984,"Industrials, Railroads"
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,0.3124414074440778,46391750656,"Industrials, Specialty Industrial Machinery"
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,0.3872647723717624,79405309952,"Healthcare, Healthcare Plans"
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,0.29911941568207234,140571901952,"Healthcare, Diagnostics & Research"
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,0.30344187014011526,24420984832,"Consumer Cyclical, Restaurants"
DVA,DaVita Inc.,Healthcare,Medical Care Facilities,0.3164706751190643,10952240128,"Healthcare, Medical Care Facilities"
DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,0.4931979658416147,19337525248,"Consumer Cyclical, Footwear & Accessories"
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,0.29020976455119624,143803285504,"Industrials, Farm & Heavy Construction Machinery"
DELL,Dell Technologies Inc.,Technology,Computer Hardware,0.5837482052483861,79749267456,"Technology, Computer Hardware"
DAL,"Delta Air Lines, Inc.",Industrials,Airlines,0.4860315768759018,33424766976,"Industrials, Airlines"
DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,0.4043748157717119,20990246912,"Energy, Oil & Gas E&P"
DXCM,"DexCom, Inc.",Healthcare,Medical Devices,0.5881825091996269,34097625088,"Healthcare, Medical Devices"
FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,0.3931704204792351,40713613312,"Energy, Oil & Gas E&P"
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty,0.2871669885784488,58605047808,"Real Estate, REIT - Specialty"
DG,Dollar General Corporation,Consumer Defensive,Discount Stores,0.4698866534086155,21594396672,"Consumer Defensive, Discount Stores"
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,0.48080917021768255,18200918016,"Consumer Defensive, Discount Stores"
DPZ,Domino's Pizza Inc,Consumer Cyclical,Restaurants,0.3110473304048345,17035830272,"Consumer Cyclical, Restaurants"
DASH,"DoorDash, Inc.",Communication Services,Internet Content & Information,0.38931911744479186,85672558592,"Communication Services, Internet Content & Information"
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,0.2773912823864124,25557557248,"Industrials, Specialty Industrial Machinery"
DOW,Dow Inc.,Basic Materials,Chemicals,0.3526941261371665,21283614720,"Basic Materials, Chemicals"
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,0.33758021173218833,38376120320,"Consumer Cyclical, Residential Construction"
DTE,DTE Energy Company,Utilities,Utilities - Regulated Electric,0.19247788649200423,28755492864,"Utilities, Utilities - Regulated Electric"
DUK,Duke Energy Corporation (Holdin,Utilities,Utilities - Regulated Electric,0.18468103154264445,90931298304,"Utilities, Utilities - Regulated Electric"
DD,"DuPont de Nemours, Inc.",Basic Materials,Specialty Chemicals,0.32385333175698794,28842950656,"Basic Materials, Specialty Chemicals"
EMN,Eastman Chemical Company,Basic Materials,Specialty Chemicals,0.3205100315770815,9486193664,"Basic Materials, Specialty Chemicals"
ETN,"Eaton Corporation, PLC",Industrials,Specialty Industrial Machinery,0.3856139860955821,128851181568,"Industrials, Specialty Industrial Machinery"
EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,0.29000909158292854,33378930688,"Consumer Cyclical, Internet Retail"
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,0.2096404940446638,74098950144,"Basic Materials, Specialty Chemicals"
EIX,Edison International,Utilities,Utilities - Regulated Electric,0.3106295638414679,22316312576,"Utilities, Utilities - Regulated Electric"
EW,Edwards Lifesciences Corporatio,Healthcare,Medical Devices,0.41168017051678657,45778264064,"Healthcare, Medical Devices"
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,0.2855462203839184,37735268352,"Communication Services, Electronic Gaming & Multimedia"
ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,0.299198232980703,91234811904,"Healthcare, Healthcare Plans"
EMR,Emerson Electric Company,Industrials,Specialty Industrial Machinery,0.3237874099998122,67263746048,"Industrials, Specialty Industrial Machinery"
ENPH,"Enphase Energy, Inc.",Technology,Solar,0.6572688106077982,6400277504,"Technology, Solar"
ETR,Entergy Corporation,Utilities,Utilities - Regulated Electric,0.2745221566308952,37050269696,"Utilities, Utilities - Regulated Electric"
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,0.29154099808082623,62192427008,"Energy, Oil & Gas E&P"
EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,0.42282814797681734,10409933824,"Technology, Information Technology Services"
EQT,EQT Corporation,Energy,Oil & Gas E&P,0.3761327170031635,33259661312,"Energy, Oil & Gas E&P"
EFX,"Equifax, Inc.",Industrials,Consulting Services,0.34177369946458047,34842787840,"Industrials, Consulting Services"
EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty,0.24274296654060123,85843017728,"Real Estate, REIT - Specialty"
EQR,Equity Residential,Real Estate,REIT - Residential,0.22732854516228382,27941230592,"Real Estate, REIT - Residential"
ERIE,Erie Indemnity Company,Financial Services,Insurance Brokers,0.3336680707096059,19488968704,"Financial Services, Insurance Brokers"
ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential,0.24092513703623025,19782019072,"Real Estate, REIT - Residential"
EL,"Estee Lauder Companies, Inc. (T",Consumer Defensive,Household & Personal Products,0.4970578612453943,23509792768,"Consumer Defensive, Household & Personal Products"
EG,"Everest Group, Ltd.",Financial Services,Insurance - Reinsurance,0.2643778939173671,14783785984,"Financial Services, Insurance - Reinsurance"
EVRG,"Evergy, Inc.",Utilities,Utilities - Regulated Electric,0.16647313190018326,15443708928,"Utilities, Utilities - Regulated Electric"
ES,Eversource Energy (D/B/A),Utilities,Utilities - Regulated Electric,0.2458800694808159,23339968512,"Utilities, Utilities - Regulated Electric"
EXC,Exelon Corporation,Utilities,Utilities - Regulated Electric,0.1991896963958436,44813479936,"Utilities, Utilities - Regulated Electric"
EXE,Expand Energy Corporation,Energy,Oil & Gas E&P,0.2764207870938005,27005857792,"Energy, Oil & Gas E&P"
EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,0.4414550080989606,21037254656,"Consumer Cyclical, Travel Services"
EXPD,Expeditors International of Was,Industrials,Integrated Freight & Logistics,0.2589891675491181,16179036160,"Industrials, Integrated Freight & Logistics"
EXR,Extra Space Storage Inc,Real Estate,REIT - Industrial,0.25520657930761576,33808601088,"Real Estate, REIT - Industrial"
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,0.24028572537538317,458847387648,"Energy, Oil & Gas Integrated"
FFIV,"F5, Inc.",Technology,Software - Infrastructure,0.3144211186973206,16408208384,"Technology, Software - Infrastructure"
FDS,FactSet Research Systems Inc.,Financial Services,Financial Data & Stock Exchanges,0.22559319424888008,17849937920,"Financial Services, Financial Data & Stock Exchanges"
FICO,Fair Isaac Corporation,Technology,Software - Application,0.33157911628948805,53698035712,"Technology, Software - Application"
FAST,Fastenal Company,Industrials,Industrial Distribution,0.25929504562622097,47702323200,"Industrials, Industrial Distribution"
FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,0.2327953086625406,8494812160,"Real Estate, REIT - Retail"
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,0.372315746406774,54178127872,"Industrials, Integrated Freight & Logistics"
FIS,Fidelity National Information S,Technology,Information Technology Services,0.26962920376334126,42546491392,"Technology, Information Technology Services"
FITB,Fifth Third Bancorp,Financial Services,Banks - Regional,0.28730307791048604,26372605952,"Financial Services, Banks - Regional"
FSLR,"First Solar, Inc.",Technology,Solar,0.6454860398277646,17686679552,"Technology, Solar"
FE,FirstEnergy Corp.,Utilities,Utilities - Regulated Electric,0.20504566966392468,24731131904,"Utilities, Utilities - Regulated Electric"
FI,"Fiserv, Inc.",Technology,Information Technology Services,0.35295385276851926,93776961536,"Technology, Information Technology Services"
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,0.3796048698453327,42747912192,"Consumer Cyclical, Auto Manufacturers"
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,0.42468977472177666,80177324032,"Technology, Software - Infrastructure"
FTV,Fortive Corporation,Technology,Scientific & Technical Instruments,0.27014775355099,24682229760,"Technology, Scientific & Technical Instruments"
FOXA,Fox Corporation,Communication Services,Entertainment,0.2619821290674635,24101492736,"Communication Services, Entertainment"
FOX,Fox Corporation,Communication Services,Entertainment,0.26057103879561777,24134023168,"Communication Services, Entertainment"
BEN,"Franklin Resources, Inc.",Financial Services,Asset Management,0.3442387645347855,11671820288,"Financial Services, Asset Management"
FCX,"Freeport-McMoRan, Inc.",Basic Materials,Copper,0.4498532457883828,55724556288,"Basic Materials, Copper"
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,0.406780735760202,39451648000,"Technology, Scientific & Technical Instruments"
IT,"Gartner, Inc.",Technology,Information Technology Services,0.24922164668184496,34598158336,"Technology, Information Technology Services"
GE,GE Aerospace,Industrials,Aerospace & Defense,0.34331658368798407,250910900224,"Industrials, Aerospace & Defense"
GEHC,GE HealthCare Technologies Inc.,Healthcare,Health Information Services,0.3366697911217905,33471391744,"Healthcare, Health Information Services"
GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,0.5765485744252168,121892773888,"Industrials, Specialty Industrial Machinery"
GEN,Gen Digital Inc.,Technology,Software - Infrastructure,0.2734195049549888,17670352896,"Technology, Software - Infrastructure"
GNRC,Generac Holdlings Inc.,Industrials,Specialty Industrial Machinery,0.3934273551360957,7618572288,"Industrials, Specialty Industrial Machinery"
GD,General Dynamics Corporation,Industrials,Aerospace & Defense,0.2237395124183031,75518582784,"Industrials, Aerospace & Defense"
GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,0.2185930363781857,30024966144,"Consumer Defensive, Packaged Foods"
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,0.3748292036683339,48100593664,"Consumer Cyclical, Auto Manufacturers"
GPC,Genuine Parts Company,Consumer Cyclical,Auto Parts,0.334746260394689,17916399616,"Consumer Cyclical, Auto Parts"
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,0.2740266468620482,132055613440,"Healthcare, Drug Manufacturers - General"
GPN,Global Payments Inc.,Industrials,Specialty Business Services,0.389056531695006,19717697536,"Industrials, Specialty Business Services"
GL,Globe Life Inc.,Financial Services,Insurance - Life,0.27349137463187845,10173102080,"Financial Services, Insurance - Life"
GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,0.3147409609423093,27055622144,"Technology, Software - Infrastructure"
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,Capital Markets,0.34355639407199523,187878735872,"Financial Services, Capital Markets"
HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,0.393263916798828,17942253568,"Energy, Oil & Gas Equipment & Services"
HIG,"The Hartford Insurance Group, I",Financial Services,Insurance - Property & Casualty,0.2363687258131224,37407842304,"Financial Services, Insurance - Property & Casualty"
HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,0.36613724167467826,9553994752,"Consumer Cyclical, Leisure"
